method,split,seed,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,mean_contact_violation,mean_disagreement,mean_branch_entropy,diagnostic_rate,mean_probe_value,fallback_rate,episodes,seeds
cvtb_no_probe,combined_shift,5,0.5833,0.2015,0.0748,0.0235,0.5194,0.0258,0.0000,0.0397,1.2053,0.0000,0.0698,0.0000,24,1
cvtb_no_probe,combined_shift,6,0.6250,0.1979,0.0756,0.0248,0.5054,0.0300,0.0000,0.0392,1.2040,0.0000,0.0685,0.0000,24,1
cvtb_no_probe,combined_shift,7,0.5417,0.2036,0.0689,0.0162,0.5079,0.0206,0.0000,0.0444,1.2084,0.0000,0.0741,0.0000,24,1
cvtb_no_probe,contact_dropout,0,0.7917,0.1660,0.0615,0.0090,0.4271,0.0164,0.0000,0.0362,1.1292,0.0000,0.0608,1.0000,24,1
cvtb_no_probe,contact_dropout,1,0.7917,0.1660,0.0607,0.0089,0.4101,0.0174,0.0000,0.0332,1.1566,0.0000,0.0608,1.0000,24,1
cvtb_no_probe,contact_dropout,2,0.8750,0.1352,0.0588,0.0085,0.4288,0.0178,0.0000,0.0335,1.1613,0.0000,0.0606,1.0000,24,1
cvtb_no_probe,contact_dropout,3,1.0000,0.0000,0.0502,0.0049,0.4313,0.0160,0.0000,0.0317,1.1234,0.0000,0.0572,1.0000,24,1
cvtb_no_probe,contact_dropout,4,0.8333,0.1523,0.0580,0.0080,0.4132,0.0142,0.0000,0.0380,1.0956,0.0000,0.0601,1.0000,24,1
cvtb_no_probe,contact_dropout,5,0.8750,0.1352,0.0585,0.0067,0.4327,0.0172,0.0000,0.0355,1.1387,0.0000,0.0602,1.0000,24,1
cvtb_no_probe,contact_dropout,6,0.8333,0.1523,0.0568,0.0085,0.4316,0.0157,0.0000,0.0329,1.1472,0.0000,0.0599,1.0000,24,1
cvtb_no_probe,contact_dropout,7,0.7083,0.1858,0.0668,0.0168,0.4148,0.0168,0.0000,0.0445,1.1536,0.0000,0.0692,1.0000,24,1
cvtb_no_probe,delayed_touch_sticky,0,0.5000,0.2043,0.1060,0.0241,0.7379,0.0765,0.0000,0.0175,1.1983,0.0000,0.0507,0.0000,24,1
cvtb_no_probe,delayed_touch_sticky,1,0.4583,0.2036,0.1074,0.0276,0.7457,0.0524,0.0000,0.0189,1.1982,0.0000,0.0521,0.0417,24,1
cvtb_no_probe,delayed_touch_sticky,2,0.6667,0.1927,0.0718,0.0155,0.7827,0.0437,0.0000,0.0150,1.1977,0.0000,0.0495,0.0000,24,1
cvtb_no_probe,delayed_touch_sticky,3,0.7500,0.1770,0.0696,0.0162,0.7743,0.0452,0.0000,0.0156,1.1980,0.0000,0.0499,0.0000,24,1
cvtb_no_probe,delayed_touch_sticky,4,0.6250,0.1979,0.0742,0.0181,0.7611,0.0535,0.0000,0.0155,1.1977,0.0000,0.0498,0.0000,24,1
cvtb_no_probe,delayed_touch_sticky,5,0.4583,0.2036,0.1010,0.0259,0.7097,0.0536,0.0000,0.0192,1.1977,0.0000,0.0522,0.0417,24,1
cvtb_no_probe,delayed_touch_sticky,6,0.6250,0.1979,0.0927,0.0284,0.7413,0.0611,0.0000,0.0166,1.1979,0.0000,0.0502,0.0000,24,1
cvtb_no_probe,delayed_touch_sticky,7,0.9167,0.1130,0.0602,0.0140,0.7948,0.0405,0.0000,0.0159,1.1975,0.0000,0.0500,0.0000,24,1
cvtb_no_probe,high_friction,0,1.0000,0.0000,0.0185,0.0009,0.4946,0.0137,0.0000,0.0131,1.1662,0.0000,0.0473,0.0000,24,1
cvtb_no_probe,high_friction,1,1.0000,0.0000,0.0193,0.0016,0.4863,0.0167,0.0000,0.0132,1.1660,0.0000,0.0474,0.0000,24,1
cvtb_no_probe,high_friction,2,1.0000,0.0000,0.0191,0.0015,0.5022,0.0160,0.0000,0.0125,1.1657,0.0000,0.0470,0.0000,24,1
cvtb_no_probe,high_friction,3,1.0000,0.0000,0.0192,0.0013,0.4924,0.0166,0.0000,0.0104,1.1656,0.0000,0.0460,0.0000,24,1
cvtb_no_probe,high_friction,4,1.0000,0.0000,0.0195,0.0015,0.4919,0.0136,0.0000,0.0118,1.1658,0.0000,0.0467,0.0000,24,1
cvtb_no_probe,high_friction,5,1.0000,0.0000,0.0189,0.0011,0.4816,0.0172,0.0000,0.0154,1.1670,0.0000,0.0487,0.0000,24,1
cvtb_no_probe,high_friction,6,1.0000,0.0000,0.0198,0.0011,0.4918,0.0151,0.0000,0.0152,1.1666,0.0000,0.0484,0.0000,24,1
cvtb_no_probe,high_friction,7,1.0000,0.0000,0.0188,0.0016,0.4824,0.0173,0.0000,0.0133,1.1661,0.0000,0.0475,0.0000,24,1
cvtb_no_probe,low_friction,0,1.0000,0.0000,0.0135,0.0027,0.3677,0.0145,0.0000,0.0148,1.1666,0.0000,0.0482,0.0000,24,1
cvtb_no_probe,low_friction,1,1.0000,0.0000,0.0115,0.0024,0.3645,0.0133,0.0000,0.0113,1.1657,0.0000,0.0464,0.0000,24,1
cvtb_no_probe,low_friction,2,1.0000,0.0000,0.0114,0.0021,0.3627,0.0155,0.0000,0.0130,1.1661,0.0000,0.0473,0.0000,24,1
cvtb_no_probe,low_friction,3,1.0000,0.0000,0.0128,0.0024,0.3628,0.0144,0.0000,0.0148,1.1665,0.0000,0.0483,0.0000,24,1
cvtb_no_probe,low_friction,4,1.0000,0.0000,0.0115,0.0016,0.3782,0.0121,0.0000,0.0114,1.1661,0.0000,0.0465,0.0000,24,1
cvtb_no_probe,low_friction,5,1.0000,0.0000,0.0138,0.0028,0.3715,0.0134,0.0000,0.0141,1.1664,0.0000,0.0480,0.0000,24,1
cvtb_no_probe,low_friction,6,1.0000,0.0000,0.0120,0.0022,0.3568,0.0167,0.0000,0.0111,1.1659,0.0000,0.0464,0.0000,24,1
cvtb_no_probe,low_friction,7,1.0000,0.0000,0.0127,0.0021,0.3818,0.0126,0.0000,0.0122,1.1658,0.0000,0.0469,0.0000,24,1
cvtb_no_probe,nominal,0,1.0000,0.0000,0.0117,0.0023,0.4038,0.0152,0.0000,0.0128,1.1662,0.0000,0.0472,0.0000,24,1
cvtb_no_probe,nominal,1,1.0000,0.0000,0.0099,0.0021,0.4012,0.0119,0.0000,0.0100,1.1657,0.0000,0.0458,0.0000,24,1
cvtb_no_probe,nominal,2,1.0000,0.0000,0.0117,0.0025,0.4009,0.0132,0.0000,0.0100,1.1658,0.0000,0.0458,0.0000,24,1
cvtb_no_probe,nominal,3,1.0000,0.0000,0.0101,0.0020,0.4148,0.0140,0.0000,0.0091,1.1656,0.0000,0.0454,0.0000,24,1
cvtb_no_probe,nominal,4,1.0000,0.0000,0.0112,0.0016,0.4035,0.0135,0.0000,0.0113,1.1661,0.0000,0.0465,0.0000,24,1
cvtb_no_probe,nominal,5,1.0000,0.0000,0.0125,0.0017,0.4034,0.0143,0.0000,0.0103,1.1657,0.0000,0.0459,0.0000,24,1
cvtb_no_probe,nominal,6,1.0000,0.0000,0.0106,0.0025,0.4083,0.0115,0.0000,0.0112,1.1657,0.0000,0.0464,0.0000,24,1
cvtb_no_probe,nominal,7,1.0000,0.0000,0.0114,0.0017,0.4146,0.0130,0.0000,0.0103,1.1661,0.0000,0.0460,0.0000,24,1
cvtb_no_probe,sensor_conflict,0,0.3750,0.1979,0.1342,0.0463,0.4155,0.0340,0.0000,0.0967,1.2572,0.0000,0.1276,0.2500,24,1
cvtb_no_probe,sensor_conflict,1,0.4583,0.2036,0.1369,0.0443,0.4454,0.0290,0.0000,0.0908,1.2517,0.0000,0.1212,0.2083,24,1
cvtb_no_probe,sensor_conflict,2,0.3750,0.1979,0.1245,0.0329,0.4031,0.0276,0.0000,0.0987,1.2468,0.0000,0.1292,0.2500,24,1
cvtb_no_probe,sensor_conflict,3,0.3333,0.1927,0.1388,0.0357,0.4172,0.0226,0.0000,0.0852,1.2667,0.0000,0.1153,0.2500,24,1
cvtb_no_probe,sensor_conflict,4,0.3750,0.1979,0.1503,0.0436,0.3980,0.0303,0.0000,0.0742,1.2624,0.0000,0.1041,0.2083,24,1
cvtb_no_probe,sensor_conflict,5,0.2500,0.1770,0.1664,0.0486,0.4131,0.0318,0.0000,0.0684,1.2466,0.0000,0.0988,0.2917,24,1
cvtb_no_probe,sensor_conflict,6,0.1250,0.1352,0.1964,0.0333,0.4267,0.0220,0.0000,0.0666,1.2691,0.0000,0.0975,0.1667,24,1
cvtb_no_probe,sensor_conflict,7,0.2083,0.1660,0.1618,0.0347,0.4282,0.0303,0.0000,0.0626,1.2233,0.0000,0.0916,0.4167,24,1
cvtb_no_probe,sticky_contact,0,1.0000,0.0000,0.0337,0.0017,0.6800,0.0175,0.0000,0.0151,1.1680,0.0000,0.0485,0.0000,24,1
cvtb_no_probe,sticky_contact,1,1.0000,0.0000,0.0344,0.0020,0.6875,0.0198,0.0000,0.0162,1.1682,0.0000,0.0490,0.0000,24,1
cvtb_no_probe,sticky_contact,2,1.0000,0.0000,0.0356,0.0020,0.6783,0.0165,0.0000,0.0145,1.1680,0.0000,0.0483,0.0000,24,1
cvtb_no_probe,sticky_contact,3,1.0000,0.0000,0.0334,0.0019,0.6698,0.0191,0.0000,0.0168,1.1682,0.0000,0.0493,0.0000,24,1
cvtb_no_probe,sticky_contact,4,1.0000,0.0000,0.0351,0.0022,0.6818,0.0164,0.0000,0.0145,1.1681,0.0000,0.0484,0.0000,24,1
cvtb_no_probe,sticky_contact,5,1.0000,0.0000,0.0351,0.0013,0.6715,0.0187,0.0000,0.0167,1.1683,0.0000,0.0493,0.0000,24,1
cvtb_no_probe,sticky_contact,6,1.0000,0.0000,0.0343,0.0021,0.6596,0.0188,0.0000,0.0185,1.1690,0.0000,0.0506,0.0000,24,1
cvtb_no_probe,sticky_contact,7,1.0000,0.0000,0.0342,0.0021,0.6805,0.0226,0.0000,0.0147,1.1681,0.0000,0.0483,0.0000,24,1
cvtb_no_probe,tactile_noise,0,0.9167,0.1130,0.0208,0.0090,0.4196,0.0165,0.0000,0.0615,1.2448,0.0000,0.0922,0.0417,24,1
cvtb_no_probe,tactile_noise,1,1.0000,0.0000,0.0181,0.0070,0.4073,0.0163,0.0000,0.0479,1.2270,0.0000,0.0784,0.0833,24,1
cvtb_no_probe,tactile_noise,2,0.9583,0.0817,0.0155,0.0067,0.4147,0.0190,0.0000,0.0502,1.2299,0.0000,0.0808,0.0000,24,1
cvtb_no_probe,tactile_noise,3,1.0000,0.0000,0.0166,0.0034,0.4234,0.0188,0.0000,0.0465,1.2257,0.0000,0.0765,0.1250,24,1
cvtb_no_probe,tactile_noise,4,1.0000,0.0000,0.0185,0.0045,0.4314,0.0172,0.0000,0.0533,1.2297,0.0000,0.0825,0.1667,24,1
cvtb_no_probe,tactile_noise,5,1.0000,0.0000,0.0166,0.0044,0.4276,0.0177,0.0000,0.0395,1.2187,0.0000,0.0706,0.1250,24,1
cvtb_no_probe,tactile_noise,6,0.9167,0.1130,0.0218,0.0112,0.4311,0.0158,0.0000,0.0591,1.2382,0.0000,0.0897,0.0417,24,1
cvtb_no_probe,tactile_noise,7,1.0000,0.0000,0.0201,0.0062,0.4296,0.0202,0.0000,0.0619,1.2434,0.0000,0.0918,0.1667,24,1
cvtb_no_probe,vision_bias,0,0.4167,0.2015,0.0841,0.0250,0.3947,0.0223,0.0000,0.0271,1.1784,0.0000,0.0580,0.0000,24,1
cvtb_no_probe,vision_bias,1,0.4167,0.2015,0.0924,0.0318,0.3963,0.0259,0.0000,0.0329,1.1797,0.0000,0.0637,0.0417,24,1
cvtb_no_probe,vision_bias,2,0.6667,0.1927,0.0670,0.0342,0.3899,0.0252,0.0000,0.0358,1.1761,0.0000,0.0652,0.0833,24,1
cvtb_no_probe,vision_bias,3,0.2917,0.1858,0.1068,0.0300,0.3890,0.0261,0.0000,0.0197,1.1721,0.0000,0.0527,0.0417,24,1
cvtb_no_probe,vision_bias,4,0.5417,0.2036,0.0765,0.0252,0.4053,0.0198,0.0000,0.0319,1.1783,0.0000,0.0623,0.0417,24,1
cvtb_no_probe,vision_bias,5,0.5417,0.2036,0.0728,0.0247,0.3957,0.0153,0.0000,0.0340,1.1847,0.0000,0.0646,0.0000,24,1
cvtb_no_probe,vision_bias,6,0.3333,0.1927,0.1179,0.0382,0.3925,0.0249,0.0000,0.0201,1.1678,0.0000,0.0526,0.0833,24,1
cvtb_no_probe,vision_bias,7,0.5417,0.2036,0.0847,0.0304,0.3984,0.0332,0.0000,0.0297,1.1740,0.0000,0.0609,0.0833,24,1
diagnostic_probe_then_mpc,combined_shift,0,0.4167,0.2015,0.0908,0.0218,0.6051,0.0305,0.0000,0.0559,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,combined_shift,1,0.5417,0.2036,0.0711,0.0194,0.6159,0.0362,0.0000,0.0560,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,combined_shift,2,0.5000,0.2043,0.0857,0.0213,0.5889,0.0353,0.0000,0.0537,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,combined_shift,3,0.5833,0.2015,0.0787,0.0225,0.5987,0.0214,0.0000,0.0675,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,combined_shift,4,0.5833,0.2015,0.0846,0.0286,0.5855,0.0239,0.0000,0.0598,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,combined_shift,5,0.4583,0.2036,0.0844,0.0247,0.5978,0.0286,0.0000,0.0509,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,combined_shift,6,0.5417,0.2036,0.0804,0.0251,0.5972,0.0320,0.0000,0.0571,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,combined_shift,7,0.5000,0.2043,0.0715,0.0166,0.5917,0.0247,0.0000,0.0655,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,0,0.7500,0.1770,0.0481,0.0181,0.5468,0.0245,0.0000,0.0500,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,1,0.7083,0.1858,0.0580,0.0150,0.5210,0.0212,0.0000,0.0547,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,2,0.8750,0.1352,0.0394,0.0126,0.5371,0.0200,0.0000,0.0507,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,3,0.8750,0.1352,0.0375,0.0139,0.5429,0.0154,0.0000,0.0440,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,4,0.7917,0.1660,0.0402,0.0138,0.5321,0.0179,0.0000,0.0517,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,5,0.7917,0.1660,0.0441,0.0148,0.5589,0.0201,0.0000,0.0475,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,6,0.8750,0.1352,0.0364,0.0188,0.5504,0.0165,0.0000,0.0530,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,contact_dropout,7,0.8750,0.1352,0.0429,0.0202,0.5304,0.0206,0.0000,0.0587,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,0,0.5000,0.2043,0.0966,0.0238,0.8855,0.1099,0.0000,0.0350,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,1,0.5000,0.2043,0.1023,0.0287,0.8721,0.0599,0.0000,0.0339,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,2,0.6250,0.1979,0.0727,0.0158,0.9348,0.0747,0.0000,0.0366,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,3,0.5417,0.2036,0.0788,0.0208,0.8829,0.0649,0.0000,0.0331,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,4,0.8750,0.1352,0.0655,0.0157,0.9073,0.0641,0.0000,0.0328,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,5,0.4583,0.2036,0.1097,0.0299,0.8247,0.0656,0.0000,0.0366,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,6,0.6250,0.1979,0.0924,0.0286,0.8582,0.0742,0.0000,0.0327,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,delayed_touch_sticky,7,0.7500,0.1770,0.0658,0.0164,0.9023,0.0515,0.0000,0.0325,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,0,1.0000,0.0000,0.0174,0.0016,0.5770,0.0175,0.0000,0.0500,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,1,1.0000,0.0000,0.0184,0.0020,0.5668,0.0172,0.0000,0.0503,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,2,1.0000,0.0000,0.0179,0.0020,0.5844,0.0165,0.0000,0.0496,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,3,1.0000,0.0000,0.0188,0.0014,0.5713,0.0177,0.0000,0.0498,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,4,1.0000,0.0000,0.0184,0.0018,0.5766,0.0146,0.0000,0.0511,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,5,1.0000,0.0000,0.0180,0.0014,0.5643,0.0174,0.0000,0.0526,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,6,1.0000,0.0000,0.0190,0.0013,0.5713,0.0159,0.0000,0.0506,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,high_friction,7,1.0000,0.0000,0.0176,0.0019,0.5681,0.0195,0.0000,0.0519,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,0,1.0000,0.0000,0.0143,0.0033,0.4212,0.0138,0.0000,0.0579,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,1,1.0000,0.0000,0.0104,0.0028,0.4173,0.0130,0.0000,0.0580,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,2,1.0000,0.0000,0.0110,0.0026,0.4175,0.0155,0.0000,0.0572,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,3,1.0000,0.0000,0.0126,0.0027,0.4157,0.0142,0.0000,0.0592,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,4,1.0000,0.0000,0.0108,0.0020,0.4305,0.0122,0.0000,0.0579,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,5,1.0000,0.0000,0.0132,0.0033,0.4240,0.0135,0.0000,0.0588,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,6,1.0000,0.0000,0.0109,0.0025,0.4089,0.0170,0.0000,0.0572,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,low_friction,7,1.0000,0.0000,0.0131,0.0031,0.4329,0.0116,0.0000,0.0592,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,0,1.0000,0.0000,0.0130,0.0028,0.4673,0.0160,0.0000,0.0562,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,1,1.0000,0.0000,0.0107,0.0023,0.4670,0.0132,0.0000,0.0557,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,2,1.0000,0.0000,0.0126,0.0024,0.4633,0.0137,0.0000,0.0544,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,3,1.0000,0.0000,0.0110,0.0026,0.4785,0.0136,0.0000,0.0534,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,4,1.0000,0.0000,0.0116,0.0017,0.4661,0.0137,0.0000,0.0564,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,5,1.0000,0.0000,0.0117,0.0019,0.4704,0.0149,0.0000,0.0553,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,6,1.0000,0.0000,0.0112,0.0026,0.4715,0.0130,0.0000,0.0547,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,nominal,7,1.0000,0.0000,0.0127,0.0024,0.4829,0.0137,0.0000,0.0545,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,0,0.4167,0.2015,0.1522,0.0481,0.5207,0.0457,0.0000,0.0985,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,1,0.2917,0.1858,0.1737,0.0438,0.5124,0.0317,0.0000,0.0951,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,2,0.4167,0.2015,0.1387,0.0427,0.5003,0.0367,0.0000,0.0983,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,3,0.1667,0.1523,0.1844,0.0365,0.4859,0.0270,0.0000,0.0928,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,4,0.1667,0.1523,0.1896,0.0383,0.4765,0.0331,0.0000,0.0899,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,5,0.2500,0.1770,0.1858,0.0489,0.4982,0.0314,0.0000,0.0777,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,6,0.2083,0.1660,0.1867,0.0377,0.5236,0.0252,0.0000,0.0717,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sensor_conflict,7,0.3333,0.1927,0.1463,0.0429,0.5237,0.0340,0.0000,0.0740,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,0,1.0000,0.0000,0.0303,0.0022,0.8080,0.0188,0.0000,0.0478,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,1,1.0000,0.0000,0.0328,0.0027,0.8137,0.0199,0.0000,0.0450,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,2,1.0000,0.0000,0.0341,0.0034,0.8081,0.0172,0.0000,0.0449,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,3,1.0000,0.0000,0.0313,0.0025,0.7988,0.0220,0.0000,0.0471,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,4,1.0000,0.0000,0.0334,0.0029,0.8054,0.0168,0.0000,0.0474,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,5,1.0000,0.0000,0.0323,0.0015,0.8003,0.0168,0.0000,0.0464,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,6,1.0000,0.0000,0.0312,0.0029,0.7902,0.0210,0.0000,0.0466,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,sticky_contact,7,1.0000,0.0000,0.0317,0.0026,0.8013,0.0237,0.0000,0.0456,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,0,0.7917,0.1660,0.0517,0.0198,0.4916,0.0225,0.0000,0.0766,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,1,0.7500,0.1770,0.0336,0.0142,0.4860,0.0185,0.0000,0.0692,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,2,0.9583,0.0817,0.0348,0.0129,0.4900,0.0236,0.0000,0.0714,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,3,0.8333,0.1523,0.0312,0.0117,0.5088,0.0227,0.0000,0.0593,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,4,0.7917,0.1660,0.0462,0.0183,0.5156,0.0173,0.0000,0.0666,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,5,0.8333,0.1523,0.0384,0.0139,0.5016,0.0205,0.0000,0.0645,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,6,0.6667,0.1927,0.0571,0.0246,0.5119,0.0288,0.0000,0.0745,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,tactile_noise,7,0.7917,0.1660,0.0389,0.0129,0.5156,0.0215,0.0000,0.0720,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,0,0.4167,0.2015,0.0829,0.0243,0.4670,0.0251,0.0000,0.0522,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,1,0.3750,0.1979,0.0948,0.0323,0.4716,0.0258,0.0000,0.0554,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,2,0.6667,0.1927,0.0682,0.0335,0.4684,0.0236,0.0000,0.0562,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,3,0.2917,0.1858,0.1071,0.0300,0.4553,0.0236,0.0000,0.0519,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,4,0.5417,0.2036,0.0780,0.0257,0.4777,0.0228,0.0000,0.0570,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,5,0.5417,0.2036,0.0704,0.0229,0.4727,0.0154,0.0000,0.0589,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,6,0.3750,0.1979,0.1151,0.0359,0.4690,0.0250,0.0000,0.0486,0.0000,1.0000,0.0000,0.0000,24,1
diagnostic_probe_then_mpc,vision_bias,7,0.5833,0.2015,0.0767,0.0288,0.4820,0.0360,0.0000,0.0507,0.0000,1.0000,0.0000,0.0000,24,1
ensemble_uncertainty_mpc,combined_shift,0,0.4583,0.2036,0.0828,0.0172,0.5089,0.0228,0.0000,0.0409,1.0768,0.0000,0.0565,0.0000,24,1
ensemble_uncertainty_mpc,combined_shift,1,0.6250,0.1979,0.0662,0.0184,0.5286,0.0293,0.0000,0.0414,1.0768,0.0000,0.0569,0.0000,24,1
ensemble_uncertainty_mpc,combined_shift,2,0.4583,0.2036,0.0876,0.0224,0.5013,0.0229,0.0000,0.0390,1.0768,0.0000,0.0551,0.0000,24,1
ensemble_uncertainty_mpc,combined_shift,3,0.5417,0.2036,0.0736,0.0197,0.5114,0.0186,0.0000,0.0533,1.0768,0.0000,0.0654,0.0000,24,1
ensemble_uncertainty_mpc,combined_shift,4,0.4583,0.2036,0.0998,0.0321,0.4801,0.0236,0.0000,0.0439,1.0768,0.0000,0.0584,0.0000,24,1
ensemble_uncertainty_mpc,combined_shift,5,0.6250,0.1979,0.0776,0.0246,0.5158,0.0255,0.0000,0.0397,1.0768,0.0000,0.0563,0.0000,24,1
ensemble_uncertainty_mpc,combined_shift,6,0.6250,0.1979,0.0800,0.0258,0.4970,0.0287,0.0000,0.0392,1.0768,0.0000,0.0551,0.0000,24,1
